group	label	ns	tau	cov	rc	pr	f
DNN ESM2 3B	DNN ESM2 3B	ec_numbers	0.990	0.960	0.887	0.988	0.935
DNN ProtBERT	DNN ProtBERT	ec_numbers	0.010	1.000	0.970	0.854	0.908
DNN ProtBERT	DNN ProtBERT	ec_numbers	0.020	1.000	0.970	0.854	0.908
DNN ProtBERT	DNN ProtBERT	ec_numbers	0.030	1.000	0.968	0.873	0.918
DNN ProtBERT	DNN ProtBERT	ec_numbers	0.040	1.000	0.966	0.885	0.924
DNN ProtBERT	DNN ProtBERT	ec_numbers	0.050	1.000	0.964	0.893	0.927
DNN ProtBERT	DNN ProtBERT	ec_numbers	0.060	1.000	0.963	0.900	0.930
DNN ProtBERT	DNN ProtBERT	ec_numbers	0.070	0.999	0.962	0.905	0.932
DNN ProtBERT	DNN ProtBERT	ec_numbers	0.080	0.999	0.961	0.909	0.934
DNN ProtBERT	DNN ProtBERT	ec_numbers	0.090	0.999	0.959	0.912	0.935
DNN ProtBERT	DNN ProtBERT	ec_numbers	0.100	0.999	0.959	0.915	0.936
DNN ProtBERT	DNN ProtBERT	ec_numbers	0.110	0.999	0.958	0.918	0.937
DNN ProtBERT	DNN ProtBERT	ec_numbers	0.120	0.999	0.957	0.920	0.938
DNN ProtBERT	DNN ProtBERT	ec_numbers	0.130	0.999	0.956	0.922	0.939
DNN ProtBERT	DNN ProtBERT	ec_numbers	0.140	0.999	0.955	0.924	0.939
DNN ProtBERT	DNN ProtBERT	ec_numbers	0.150	0.998	0.955	0.926	0.940
DNN ProtBERT	DNN ProtBERT	ec_numbers	0.160	0.998	0.954	0.927	0.941
DNN ProtBERT	DNN ProtBERT	ec_numbers	0.170	0.998	0.953	0.929	0.941
DNN ProtBERT	DNN ProtBERT	ec_numbers	0.180	0.998	0.953	0.930	0.941
DNN ProtBERT	DNN ProtBERT	ec_numbers	0.190	0.998	0.952	0.932	0.942
DNN ProtBERT	DNN ProtBERT	ec_numbers	0.200	0.998	0.952	0.933	0.942
DNN ProtBERT	DNN ProtBERT	ec_numbers	0.210	0.997	0.951	0.934	0.942
DNN ProtBERT	DNN ProtBERT	ec_numbers	0.220	0.997	0.950	0.935	0.943
DNN ProtBERT	DNN ProtBERT	ec_numbers	0.230	0.997	0.950	0.936	0.943
DNN ProtBERT	DNN ProtBERT	ec_numbers	0.240	0.997	0.949	0.937	0.943
DNN ProtBERT	DNN ProtBERT	ec_numbers	0.250	0.997	0.948	0.938	0.943
DNN ProtBERT	DNN ProtBERT	ec_numbers	0.260	0.997	0.948	0.938	0.943
DNN ProtBERT	DNN ProtBERT	ec_numbers	0.270	0.996	0.947	0.939	0.943
DNN ProtBERT	DNN ProtBERT	ec_numbers	0.280	0.996	0.947	0.940	0.944
DNN ProtBERT	DNN ProtBERT	ec_numbers	0.290	0.996	0.946	0.941	0.944
DNN ProtBERT	DNN ProtBERT	ec_numbers	0.300	0.996	0.946	0.942	0.944
DNN ProtBERT	DNN ProtBERT	ec_numbers	0.310	0.995	0.945	0.943	0.944
DNN ProtBERT	DNN ProtBERT	ec_numbers	0.320	0.995	0.945	0.943	0.944
DNN ProtBERT	DNN ProtBERT	ec_numbers	0.330	0.995	0.944	0.944	0.944
DNN ProtBERT	DNN ProtBERT	ec_numbers	0.340	0.995	0.944	0.945	0.944
DNN ProtBERT	DNN ProtBERT	ec_numbers	0.350	0.994	0.943	0.945	0.944
DNN ProtBERT	DNN ProtBERT	ec_numbers	0.360	0.994	0.943	0.946	0.944
DNN ProtBERT	DNN ProtBERT	ec_numbers	0.370	0.994	0.942	0.947	0.944
DNN ProtBERT	DNN ProtBERT	ec_numbers	0.380	0.994	0.942	0.947	0.945
DNN ProtBERT	DNN ProtBERT	ec_numbers	0.390	0.994	0.941	0.948	0.945
DNN ProtBERT	DNN ProtBERT	ec_numbers	0.400	0.993	0.941	0.948	0.945
DNN ProtBERT	DNN ProtBERT	ec_numbers	0.410	0.993	0.941	0.949	0.945
DNN ProtBERT	DNN ProtBERT	ec_numbers	0.420	0.993	0.940	0.950	0.945
DNN ProtBERT	DNN ProtBERT	ec_numbers	0.430	0.993	0.940	0.950	0.945
DNN ProtBERT	DNN ProtBERT	ec_numbers	0.440	0.992	0.939	0.951	0.945
DNN ProtBERT	DNN ProtBERT	ec_numbers	0.450	0.992	0.939	0.951	0.945
DNN ProtBERT	DNN ProtBERT	ec_numbers	0.460	0.992	0.938	0.952	0.945
DNN ProtBERT	DNN ProtBERT	ec_numbers	0.470	0.992	0.938	0.952	0.945
DNN ProtBERT	DNN ProtBERT	ec_numbers	0.480	0.991	0.937	0.953	0.945
DNN ProtBERT	DNN ProtBERT	ec_numbers	0.490	0.991	0.937	0.953	0.945
DNN ProtBERT	DNN ProtBERT	ec_numbers	0.500	0.991	0.936	0.954	0.945
DNN ProtBERT	DNN ProtBERT	ec_numbers	0.510	0.990	0.936	0.954	0.945
DNN ProtBERT	DNN ProtBERT	ec_numbers	0.520	0.990	0.935	0.955	0.945
DNN ProtBERT	DNN ProtBERT	ec_numbers	0.530	0.990	0.935	0.955	0.945
DNN ProtBERT	DNN ProtBERT	ec_numbers	0.540	0.989	0.934	0.956	0.945
DNN ProtBERT	DNN ProtBERT	ec_numbers	0.550	0.989	0.933	0.956	0.945
DNN ProtBERT	DNN ProtBERT	ec_numbers	0.560	0.989	0.933	0.957	0.945
DNN ProtBERT	DNN ProtBERT	ec_numbers	0.570	0.988	0.932	0.957	0.945
DNN ProtBERT	DNN ProtBERT	ec_numbers	0.580	0.988	0.932	0.958	0.945
DNN ProtBERT	DNN ProtBERT	ec_numbers	0.590	0.988	0.931	0.958	0.945
DNN ProtBERT	DNN ProtBERT	ec_numbers	0.600	0.987	0.931	0.959	0.945
DNN ProtBERT	DNN ProtBERT	ec_numbers	0.610	0.987	0.930	0.959	0.944
DNN ProtBERT	DNN ProtBERT	ec_numbers	0.620	0.986	0.930	0.960	0.944
DNN ProtBERT	DNN ProtBERT	ec_numbers	0.630	0.986	0.929	0.960	0.944
DNN ProtBERT	DNN ProtBERT	ec_numbers	0.640	0.986	0.928	0.961	0.944
DNN ProtBERT	DNN ProtBERT	ec_numbers	0.650	0.985	0.928	0.961	0.944
DNN ProtBERT	DNN ProtBERT	ec_numbers	0.660	0.985	0.927	0.961	0.944
DNN ProtBERT	DNN ProtBERT	ec_numbers	0.670	0.985	0.926	0.962	0.944
DNN ProtBERT	DNN ProtBERT	ec_numbers	0.680	0.984	0.926	0.962	0.944
DNN ProtBERT	DNN ProtBERT	ec_numbers	0.690	0.984	0.925	0.963	0.944
DNN ProtBERT	DNN ProtBERT	ec_numbers	0.700	0.983	0.924	0.963	0.943
DNN ProtBERT	DNN ProtBERT	ec_numbers	0.710	0.983	0.924	0.964	0.943
DNN ProtBERT	DNN ProtBERT	ec_numbers	0.720	0.982	0.923	0.964	0.943
DNN ProtBERT	DNN ProtBERT	ec_numbers	0.730	0.981	0.922	0.965	0.943
DNN ProtBERT	DNN ProtBERT	ec_numbers	0.740	0.981	0.921	0.965	0.943
DNN ProtBERT	DNN ProtBERT	ec_numbers	0.750	0.980	0.921	0.966	0.943
DNN ProtBERT	DNN ProtBERT	ec_numbers	0.760	0.980	0.920	0.967	0.943
DNN ProtBERT	DNN ProtBERT	ec_numbers	0.770	0.979	0.919	0.967	0.942
DNN ProtBERT	DNN ProtBERT	ec_numbers	0.780	0.978	0.918	0.968	0.942
DNN ProtBERT	DNN ProtBERT	ec_numbers	0.790	0.978	0.917	0.968	0.942
DNN ProtBERT	DNN ProtBERT	ec_numbers	0.800	0.977	0.916	0.969	0.942
DNN ProtBERT	DNN ProtBERT	ec_numbers	0.810	0.976	0.915	0.969	0.941
DNN ProtBERT	DNN ProtBERT	ec_numbers	0.820	0.976	0.914	0.970	0.941
DNN ProtBERT	DNN ProtBERT	ec_numbers	0.830	0.975	0.913	0.970	0.941
DNN ProtBERT	DNN ProtBERT	ec_numbers	0.840	0.974	0.911	0.971	0.940
DNN ProtBERT	DNN ProtBERT	ec_numbers	0.850	0.973	0.910	0.972	0.940
DNN ProtBERT	DNN ProtBERT	ec_numbers	0.860	0.971	0.909	0.973	0.940
DNN ProtBERT	DNN ProtBERT	ec_numbers	0.870	0.970	0.907	0.973	0.939
DNN ProtBERT	DNN ProtBERT	ec_numbers	0.880	0.969	0.905	0.974	0.938
DNN ProtBERT	DNN ProtBERT	ec_numbers	0.890	0.967	0.903	0.975	0.938
DNN ProtBERT	DNN ProtBERT	ec_numbers	0.900	0.966	0.901	0.976	0.937
DNN ProtBERT	DNN ProtBERT	ec_numbers	0.910	0.965	0.899	0.976	0.936
DNN ProtBERT	DNN ProtBERT	ec_numbers	0.920	0.963	0.897	0.977	0.935
DNN ProtBERT	DNN ProtBERT	ec_numbers	0.930	0.961	0.894	0.978	0.934
DNN ProtBERT	DNN ProtBERT	ec_numbers	0.940	0.958	0.890	0.979	0.933
DNN ProtBERT	DNN ProtBERT	ec_numbers	0.950	0.955	0.886	0.981	0.931
DNN ProtBERT	DNN ProtBERT	ec_numbers	0.960	0.951	0.881	0.982	0.929
DNN ProtBERT	DNN ProtBERT	ec_numbers	0.970	0.946	0.874	0.984	0.926
DNN ProtBERT	DNN ProtBERT	ec_numbers	0.980	0.938	0.863	0.986	0.920
DNN ProtBERT	DNN ProtBERT	ec_numbers	0.990	0.923	0.842	0.989	0.910
DeepEC CNN3	DeepEC CNN3	ec_numbers	0.010	1.000	0.910	0.612	0.732
DeepEC CNN3	DeepEC CNN3	ec_numbers	0.020	1.000	0.910	0.612	0.732
DeepEC CNN3	DeepEC CNN3	ec_numbers	0.030	1.000	0.902	0.641	0.750
DeepEC CNN3	DeepEC CNN3	ec_numbers	0.040	1.000	0.896	0.662	0.761
DeepEC CNN3	DeepEC CNN3	ec_numbers	0.050	1.000	0.890	0.677	0.769
DeepEC CNN3	DeepEC CNN3	ec_numbers	0.060	1.000	0.886	0.690	0.776
DeepEC CNN3	DeepEC CNN3	ec_numbers	0.070	1.000	0.882	0.701	0.781
DeepEC CNN3	DeepEC CNN3	ec_numbers	0.080	1.000	0.878	0.710	0.785
DeepEC CNN3	DeepEC CNN3	ec_numbers	0.090	1.000	0.875	0.717	0.789
DeepEC CNN3	DeepEC CNN3	ec_numbers	0.100	1.000	0.872	0.724	0.792
DeepEC CNN3	DeepEC CNN3	ec_numbers	0.110	1.000	0.870	0.731	0.794
DeepEC CNN3	DeepEC CNN3	ec_numbers	0.120	0.999	0.868	0.736	0.797
DeepEC CNN3	DeepEC CNN3	ec_numbers	0.130	0.999	0.865	0.742	0.799
DeepEC CNN3	DeepEC CNN3	ec_numbers	0.140	0.999	0.863	0.747	0.801
DeepEC CNN3	DeepEC CNN3	ec_numbers	0.150	0.999	0.861	0.751	0.802
DeepEC CNN3	DeepEC CNN3	ec_numbers	0.160	0.999	0.859	0.755	0.804
DeepEC CNN3	DeepEC CNN3	ec_numbers	0.170	0.999	0.857	0.759	0.805
DeepEC CNN3	DeepEC CNN3	ec_numbers	0.180	0.998	0.855	0.763	0.806
DeepEC CNN3	DeepEC CNN3	ec_numbers	0.190	0.998	0.853	0.767	0.808
DeepEC CNN3	DeepEC CNN3	ec_numbers	0.200	0.998	0.851	0.770	0.809
DeepEC CNN3	DeepEC CNN3	ec_numbers	0.210	0.998	0.850	0.773	0.810
DeepEC CNN3	DeepEC CNN3	ec_numbers	0.220	0.997	0.848	0.776	0.810
DeepEC CNN3	DeepEC CNN3	ec_numbers	0.230	0.997	0.846	0.779	0.811
DeepEC CNN3	DeepEC CNN3	ec_numbers	0.240	0.997	0.845	0.781	0.812
DeepEC CNN3	DeepEC CNN3	ec_numbers	0.250	0.996	0.843	0.784	0.813
DeepEC CNN3	DeepEC CNN3	ec_numbers	0.260	0.996	0.842	0.787	0.813
DeepEC CNN3	DeepEC CNN3	ec_numbers	0.270	0.996	0.840	0.789	0.814
DeepEC CNN3	DeepEC CNN3	ec_numbers	0.280	0.995	0.839	0.792	0.815
DeepEC CNN3	DeepEC CNN3	ec_numbers	0.290	0.994	0.838	0.794	0.815
DeepEC CNN3	DeepEC CNN3	ec_numbers	0.300	0.994	0.836	0.797	0.816
DeepEC CNN3	DeepEC CNN3	ec_numbers	0.310	0.993	0.834	0.799	0.816
DeepEC CNN3	DeepEC CNN3	ec_numbers	0.320	0.993	0.833	0.802	0.817
DeepEC CNN3	DeepEC CNN3	ec_numbers	0.330	0.992	0.832	0.804	0.818
DeepEC CNN3	DeepEC CNN3	ec_numbers	0.340	0.991	0.831	0.806	0.818
DeepEC CNN3	DeepEC CNN3	ec_numbers	0.350	0.991	0.829	0.808	0.819
DeepEC CNN3	DeepEC CNN3	ec_numbers	0.360	0.990	0.828	0.810	0.819
DeepEC CNN3	DeepEC CNN3	ec_numbers	0.370	0.989	0.827	0.812	0.819
DeepEC CNN3	DeepEC CNN3	ec_numbers	0.380	0.988	0.825	0.814	0.820
DeepEC CNN3	DeepEC CNN3	ec_numbers	0.390	0.988	0.824	0.816	0.820
DeepEC CNN3	DeepEC CNN3	ec_numbers	0.400	0.987	0.823	0.818	0.821
DeepEC CNN3	DeepEC CNN3	ec_numbers	0.410	0.986	0.822	0.820	0.821
DeepEC CNN3	DeepEC CNN3	ec_numbers	0.420	0.985	0.820	0.823	0.821
DeepEC CNN3	DeepEC CNN3	ec_numbers	0.430	0.984	0.819	0.825	0.822
DeepEC CNN3	DeepEC CNN3	ec_numbers	0.440	0.983	0.818	0.826	0.822
DeepEC CNN3	DeepEC CNN3	ec_numbers	0.450	0.982	0.816	0.828	0.822
DeepEC CNN3	DeepEC CNN3	ec_numbers	0.460	0.980	0.815	0.830	0.823
DeepEC CNN3	DeepEC CNN3	ec_numbers	0.470	0.979	0.814	0.832	0.823
DeepEC CNN3	DeepEC CNN3	ec_numbers	0.480	0.978	0.813	0.834	0.823
DeepEC CNN3	DeepEC CNN3	ec_numbers	0.490	0.977	0.811	0.836	0.823
DeepEC CNN3	DeepEC CNN3	ec_numbers	0.500	0.975	0.810	0.837	0.824
DeepEC CNN3	DeepEC CNN3	ec_numbers	0.510	0.974	0.809	0.839	0.824
DeepEC CNN3	DeepEC CNN3	ec_numbers	0.520	0.973	0.808	0.841	0.824
DeepEC CNN3	DeepEC CNN3	ec_numbers	0.530	0.972	0.806	0.843	0.824
DeepEC CNN3	DeepEC CNN3	ec_numbers	0.540	0.970	0.805	0.845	0.825
DeepEC CNN3	DeepEC CNN3	ec_numbers	0.550	0.969	0.804	0.847	0.825
DeepEC CNN3	DeepEC CNN3	ec_numbers	0.560	0.967	0.803	0.848	0.825
DeepEC CNN3	DeepEC CNN3	ec_numbers	0.570	0.966	0.801	0.850	0.825
DeepEC CNN3	DeepEC CNN3	ec_numbers	0.580	0.964	0.800	0.852	0.825
DeepEC CNN3	DeepEC CNN3	ec_numbers	0.590	0.963	0.799	0.854	0.825
DeepEC CNN3	DeepEC CNN3	ec_numbers	0.600	0.961	0.797	0.856	0.826
DeepEC CNN3	DeepEC CNN3	ec_numbers	0.610	0.959	0.796	0.858	0.826
DeepEC CNN3	DeepEC CNN3	ec_numbers	0.620	0.958	0.794	0.860	0.826
DeepEC CNN3	DeepEC CNN3	ec_numbers	0.630	0.956	0.793	0.862	0.826
DeepEC CNN3	DeepEC CNN3	ec_numbers	0.640	0.954	0.792	0.863	0.826
DeepEC CNN3	DeepEC CNN3	ec_numbers	0.650	0.952	0.790	0.865	0.826
DeepEC CNN3	DeepEC CNN3	ec_numbers	0.660	0.950	0.789	0.867	0.826
DeepEC CNN3	DeepEC CNN3	ec_numbers	0.670	0.948	0.787	0.869	0.826
DeepEC CNN3	DeepEC CNN3	ec_numbers	0.680	0.946	0.785	0.871	0.826
DeepEC CNN3	DeepEC CNN3	ec_numbers	0.690	0.944	0.784	0.873	0.826
DeepEC CNN3	DeepEC CNN3	ec_numbers	0.700	0.942	0.782	0.875	0.826
DeepEC CNN3	DeepEC CNN3	ec_numbers	0.710	0.940	0.781	0.877	0.826
DeepEC CNN3	DeepEC CNN3	ec_numbers	0.720	0.937	0.779	0.879	0.826
DeepEC CNN3	DeepEC CNN3	ec_numbers	0.730	0.935	0.777	0.881	0.826
DeepEC CNN3	DeepEC CNN3	ec_numbers	0.740	0.932	0.775	0.883	0.826
DeepEC CNN3	DeepEC CNN3	ec_numbers	0.750	0.930	0.773	0.885	0.826
DeepEC CNN3	DeepEC CNN3	ec_numbers	0.760	0.927	0.772	0.888	0.825
DeepEC CNN3	DeepEC CNN3	ec_numbers	0.770	0.925	0.770	0.890	0.825
DeepEC CNN3	DeepEC CNN3	ec_numbers	0.780	0.922	0.768	0.892	0.825
DeepEC CNN3	DeepEC CNN3	ec_numbers	0.790	0.919	0.766	0.894	0.825
DeepEC CNN3	DeepEC CNN3	ec_numbers	0.800	0.916	0.764	0.896	0.825
DeepEC CNN3	DeepEC CNN3	ec_numbers	0.810	0.913	0.762	0.899	0.824
DeepEC CNN3	DeepEC CNN3	ec_numbers	0.820	0.910	0.759	0.901	0.824
DeepEC CNN3	DeepEC CNN3	ec_numbers	0.830	0.907	0.757	0.904	0.824
DeepEC CNN3	DeepEC CNN3	ec_numbers	0.840	0.903	0.754	0.906	0.823
DeepEC CNN3	DeepEC CNN3	ec_numbers	0.850	0.899	0.751	0.909	0.822
DeepEC CNN3	DeepEC CNN3	ec_numbers	0.860	0.895	0.748	0.911	0.822
DeepEC CNN3	DeepEC CNN3	ec_numbers	0.870	0.891	0.745	0.914	0.821
DeepEC CNN3	DeepEC CNN3	ec_numbers	0.880	0.886	0.742	0.917	0.820
DeepEC CNN3	DeepEC CNN3	ec_numbers	0.890	0.881	0.738	0.920	0.819
DeepEC CNN3	DeepEC CNN3	ec_numbers	0.900	0.876	0.735	0.923	0.818
DeepEC CNN3	DeepEC CNN3	ec_numbers	0.910	0.870	0.731	0.927	0.817
DeepEC CNN3	DeepEC CNN3	ec_numbers	0.920	0.864	0.726	0.930	0.816
DeepEC CNN3	DeepEC CNN3	ec_numbers	0.930	0.858	0.721	0.934	0.813
DeepEC CNN3	DeepEC CNN3	ec_numbers	0.940	0.850	0.714	0.938	0.811
DeepEC CNN3	DeepEC CNN3	ec_numbers	0.950	0.840	0.707	0.942	0.808
DeepEC CNN3	DeepEC CNN3	ec_numbers	0.960	0.829	0.698	0.947	0.804
DeepEC CNN3	DeepEC CNN3	ec_numbers	0.970	0.816	0.686	0.953	0.798
DeepEC CNN3	DeepEC CNN3	ec_numbers	0.980	0.796	0.670	0.960	0.789
DeepEC CNN3	DeepEC CNN3	ec_numbers	0.990	0.765	0.643	0.969	0.773
