group	label	ns	tau	cov	rc	pr	f
D-SPACE EC	D-SPACE EC	ec_numbers	0.710	0.965	0.795	0.883	0.837
D-SPACE EC	D-SPACE EC	ec_numbers	0.720	0.964	0.794	0.884	0.837
D-SPACE EC	D-SPACE EC	ec_numbers	0.730	0.963	0.793	0.885	0.837
D-SPACE EC	D-SPACE EC	ec_numbers	0.740	0.962	0.792	0.886	0.837
D-SPACE EC	D-SPACE EC	ec_numbers	0.750	0.960	0.792	0.887	0.837
D-SPACE EC	D-SPACE EC	ec_numbers	0.760	0.959	0.791	0.888	0.836
D-SPACE EC	D-SPACE EC	ec_numbers	0.770	0.958	0.790	0.889	0.836
D-SPACE EC	D-SPACE EC	ec_numbers	0.780	0.956	0.789	0.890	0.836
D-SPACE EC	D-SPACE EC	ec_numbers	0.790	0.955	0.788	0.891	0.836
D-SPACE EC	D-SPACE EC	ec_numbers	0.800	0.953	0.786	0.892	0.836
D-SPACE EC	D-SPACE EC	ec_numbers	0.810	0.952	0.785	0.894	0.836
D-SPACE EC	D-SPACE EC	ec_numbers	0.820	0.950	0.784	0.895	0.836
D-SPACE EC	D-SPACE EC	ec_numbers	0.830	0.948	0.783	0.897	0.836
D-SPACE EC	D-SPACE EC	ec_numbers	0.840	0.946	0.781	0.898	0.836
D-SPACE EC	D-SPACE EC	ec_numbers	0.850	0.944	0.780	0.900	0.836
D-SPACE EC	D-SPACE EC	ec_numbers	0.860	0.941	0.778	0.901	0.835
D-SPACE EC	D-SPACE EC	ec_numbers	0.870	0.939	0.777	0.903	0.835
D-SPACE EC	D-SPACE EC	ec_numbers	0.880	0.936	0.775	0.905	0.835
D-SPACE EC	D-SPACE EC	ec_numbers	0.890	0.933	0.773	0.907	0.835
D-SPACE EC	D-SPACE EC	ec_numbers	0.900	0.930	0.771	0.909	0.834
D-SPACE EC	D-SPACE EC	ec_numbers	0.910	0.926	0.769	0.911	0.834
D-SPACE EC	D-SPACE EC	ec_numbers	0.920	0.922	0.766	0.914	0.833
D-SPACE EC	D-SPACE EC	ec_numbers	0.930	0.918	0.763	0.916	0.833
D-SPACE EC	D-SPACE EC	ec_numbers	0.940	0.913	0.759	0.919	0.832
D-SPACE EC	D-SPACE EC	ec_numbers	0.950	0.907	0.755	0.923	0.831
D-SPACE EC	D-SPACE EC	ec_numbers	0.960	0.900	0.750	0.927	0.829
D-SPACE EC	D-SPACE EC	ec_numbers	0.970	0.891	0.744	0.932	0.827
D-SPACE EC	D-SPACE EC	ec_numbers	0.980	0.878	0.735	0.939	0.824
D-SPACE EC	D-SPACE EC	ec_numbers	0.990	0.857	0.718	0.948	0.817
DNN ESM1b	DNN ESM1b	ec_numbers	0.010	1.000	0.969	0.922	0.945
DNN ESM1b	DNN ESM1b	ec_numbers	0.020	1.000	0.969	0.922	0.945
DNN ESM1b	DNN ESM1b	ec_numbers	0.030	0.999	0.967	0.928	0.947
DNN ESM1b	DNN ESM1b	ec_numbers	0.040	0.999	0.966	0.932	0.949
DNN ESM1b	DNN ESM1b	ec_numbers	0.050	0.999	0.965	0.935	0.950
DNN ESM1b	DNN ESM1b	ec_numbers	0.060	0.999	0.964	0.937	0.950
DNN ESM1b	DNN ESM1b	ec_numbers	0.070	0.999	0.963	0.939	0.951
DNN ESM1b	DNN ESM1b	ec_numbers	0.080	0.999	0.962	0.941	0.951
DNN ESM1b	DNN ESM1b	ec_numbers	0.090	0.999	0.961	0.942	0.951
DNN ESM1b	DNN ESM1b	ec_numbers	0.100	0.999	0.960	0.943	0.952
DNN ESM1b	DNN ESM1b	ec_numbers	0.110	0.998	0.960	0.944	0.952
DNN ESM1b	DNN ESM1b	ec_numbers	0.120	0.998	0.959	0.945	0.952
DNN ESM1b	DNN ESM1b	ec_numbers	0.130	0.998	0.959	0.946	0.952
DNN ESM1b	DNN ESM1b	ec_numbers	0.140	0.998	0.958	0.947	0.952
DNN ESM1b	DNN ESM1b	ec_numbers	0.150	0.998	0.958	0.947	0.953
DNN ESM1b	DNN ESM1b	ec_numbers	0.160	0.998	0.957	0.948	0.953
DNN ESM1b	DNN ESM1b	ec_numbers	0.170	0.998	0.957	0.949	0.953
DNN ESM1b	DNN ESM1b	ec_numbers	0.180	0.997	0.956	0.949	0.953
DNN ESM1b	DNN ESM1b	ec_numbers	0.190	0.997	0.956	0.950	0.953
DNN ESM1b	DNN ESM1b	ec_numbers	0.200	0.997	0.956	0.950	0.953
DNN ESM1b	DNN ESM1b	ec_numbers	0.210	0.997	0.955	0.951	0.953
DNN ESM1b	DNN ESM1b	ec_numbers	0.220	0.997	0.955	0.951	0.953
DNN ESM1b	DNN ESM1b	ec_numbers	0.230	0.997	0.954	0.952	0.953
DNN ESM1b	DNN ESM1b	ec_numbers	0.240	0.997	0.954	0.952	0.953
DNN ESM1b	DNN ESM1b	ec_numbers	0.250	0.997	0.954	0.953	0.953
DNN ESM1b	DNN ESM1b	ec_numbers	0.260	0.997	0.953	0.953	0.953
