filename	ns	tau	n	tp	fp	fn	pr	rc	cov	mi	ru	f	s	pr_micro	rc_micro	f_micro
deep_ec_results.tsv	ec_numbers	0.910	65767.000	2.877	0.189	1.047	0.927	0.731	0.870	0.189	1.047	0.817	1.064	0.938	0.733	0.823
deep_ec_results.tsv	ec_numbers	0.920	65299.000	2.859	0.177	1.065	0.930	0.726	0.864	0.177	1.065	0.816	1.079	0.942	0.729	0.822
deep_ec_results.tsv	ec_numbers	0.930	64801.000	2.839	0.165	1.085	0.934	0.721	0.858	0.165	1.085	0.813	1.098	0.945	0.723	0.820
deep_ec_results.tsv	ec_numbers	0.940	64231.000	2.815	0.152	1.109	0.938	0.714	0.850	0.152	1.109	0.811	1.119	0.949	0.717	0.817
deep_ec_results.tsv	ec_numbers	0.950	63510.000	2.786	0.138	1.138	0.942	0.707	0.840	0.138	1.138	0.808	1.146	0.953	0.710	0.814
deep_ec_results.tsv	ec_numbers	0.960	62664.000	2.752	0.123	1.172	0.947	0.698	0.829	0.123	1.172	0.804	1.179	0.957	0.701	0.809
deep_ec_results.tsv	ec_numbers	0.970	61636.000	2.707	0.107	1.217	0.953	0.686	0.816	0.107	1.217	0.798	1.222	0.962	0.690	0.803
deep_ec_results.tsv	ec_numbers	0.980	60123.000	2.645	0.087	1.279	0.960	0.670	0.796	0.087	1.279	0.789	1.282	0.968	0.674	0.795
deep_ec_results.tsv	ec_numbers	0.990	57782.000	2.539	0.065	1.385	0.969	0.643	0.765	0.065	1.385	0.773	1.386	0.975	0.647	0.778
dspace_results.tsv	ec_numbers	0.010	75565.000	3.408	1.519	0.516	0.775	0.869	1.000	1.519	0.516	0.819	1.604	0.692	0.869	0.770
dspace_results.tsv	ec_numbers	0.020	75565.000	3.408	1.519	0.516	0.775	0.869	1.000	1.519	0.516	0.819	1.604	0.692	0.869	0.770
dspace_results.tsv	ec_numbers	0.030	75559.000	3.387	1.320	0.537	0.787	0.863	1.000	1.320	0.537	0.824	1.425	0.720	0.863	0.785
dspace_results.tsv	ec_numbers	0.040	75551.000	3.372	1.192	0.552	0.796	0.859	1.000	1.192	0.552	0.826	1.314	0.739	0.859	0.794
dspace_results.tsv	ec_numbers	0.050	75543.000	3.359	1.100	0.565	0.802	0.856	1.000	1.100	0.565	0.828	1.237	0.753	0.856	0.801
dspace_results.tsv	ec_numbers	0.060	75537.000	3.349	1.032	0.575	0.806	0.853	1.000	1.032	0.575	0.829	1.181	0.764	0.853	0.806
dspace_results.tsv	ec_numbers	0.070	75529.000	3.340	0.976	0.584	0.810	0.851	1.000	0.976	0.584	0.830	1.137	0.774	0.851	0.811
dspace_results.tsv	ec_numbers	0.080	75517.000	3.332	0.929	0.592	0.814	0.849	0.999	0.929	0.592	0.831	1.102	0.782	0.849	0.814
dspace_results.tsv	ec_numbers	0.090	75503.000	3.325	0.888	0.599	0.817	0.847	0.999	0.888	0.599	0.832	1.071	0.789	0.847	0.817
dspace_results.tsv	ec_numbers	0.100	75491.000	3.319	0.855	0.605	0.820	0.845	0.999	0.855	0.605	0.832	1.047	0.795	0.846	0.820
dspace_results.tsv	ec_numbers	0.110	75482.000	3.313	0.823	0.611	0.822	0.844	0.999	0.823	0.611	0.833	1.026	0.801	0.844	0.822
dspace_results.tsv	ec_numbers	0.120	75471.000	3.307	0.796	0.617	0.824	0.842	0.999	0.796	0.617	0.833	1.007	0.806	0.843	0.824
dspace_results.tsv	ec_numbers	0.130	75455.000	3.301	0.772	0.623	0.826	0.841	0.999	0.772	0.623	0.833	0.992	0.810	0.841	0.826
dspace_results.tsv	ec_numbers	0.140	75447.000	3.296	0.752	0.628	0.828	0.839	0.998	0.752	0.628	0.833	0.980	0.814	0.840	0.827
dspace_results.tsv	ec_numbers	0.150	75430.000	3.291	0.733	0.633	0.829	0.838	0.998	0.733	0.633	0.834	0.968	0.818	0.839	0.828
dspace_results.tsv	ec_numbers	0.160	75415.000	3.286	0.714	0.638	0.831	0.837	0.998	0.714	0.638	0.834	0.957	0.821	0.837	0.829
dspace_results.tsv	ec_numbers	0.170	75393.000	3.282	0.697	0.642	0.832	0.836	0.998	0.697	0.642	0.834	0.948	0.825	0.836	0.831
dspace_results.tsv	ec_numbers	0.180	75371.000	3.278	0.681	0.646	0.834	0.835	0.997	0.681	0.646	0.834	0.939	0.828	0.835	0.832
dspace_results.tsv	ec_numbers	0.190	75356.000	3.274	0.666	0.650	0.835	0.834	0.997	0.666	0.650	0.834	0.931	0.831	0.834	0.833
dspace_results.tsv	ec_numbers	0.200	75338.000	3.270	0.651	0.654	0.836	0.833	0.997	0.651	0.654	0.835	0.923	0.834	0.833	0.834
dspace_results.tsv	ec_numbers	0.210	75314.000	3.267	0.638	0.657	0.838	0.832	0.997	0.638	0.657	0.835	0.916	0.837	0.833	0.835
dspace_results.tsv	ec_numbers	0.220	75294.000	3.263	0.626	0.661	0.839	0.831	0.996	0.626	0.661	0.835	0.910	0.839	0.832	0.835
dspace_results.tsv	ec_numbers	0.230	75268.000	3.260	0.614	0.664	0.840	0.830	0.996	0.614	0.664	0.835	0.905	0.841	0.831	0.836
dspace_results.tsv	ec_numbers	0.240	75248.000	3.257	0.603	0.667	0.841	0.829	0.996	0.603	0.667	0.835	0.899	0.844	0.830	0.837
dspace_results.tsv	ec_numbers	0.250	75232.000	3.254	0.591	0.670	0.842	0.828	0.996	0.591	0.670	0.835	0.894	0.846	0.829	0.838
dspace_results.tsv	ec_numbers	0.260	75202.000	3.250	0.581	0.674	0.843	0.828	0.995	0.581	0.674	0.835	0.889	0.848	0.828	0.838
dspace_results.tsv	ec_numbers	0.270	75171.000	3.247	0.571	0.676	0.845	0.827	0.995	0.571	0.676	0.836	0.885	0.851	0.828	0.839
dspace_results.tsv	ec_numbers	0.280	75145.000	3.244	0.561	0.680	0.846	0.826	0.994	0.561	0.680	0.836	0.881	0.853	0.827	0.839
dspace_results.tsv	ec_numbers	0.290	75114.000	3.241	0.552	0.683	0.847	0.825	0.994	0.552	0.683	0.836	0.878	0.854	0.826	0.840
dspace_results.tsv	ec_numbers	0.300	75086.000	3.238	0.545	0.686	0.847	0.824	0.994	0.545	0.686	0.836	0.876	0.856	0.825	0.840
dspace_results.tsv	ec_numbers	0.310	75058.000	3.235	0.536	0.689	0.848	0.823	0.993	0.536	0.689	0.836	0.873	0.858	0.824	0.841
dspace_results.tsv	ec_numbers	0.320	75022.000	3.232	0.528	0.692	0.849	0.823	0.993	0.528	0.692	0.836	0.870	0.860	0.824	0.841
dspace_results.tsv	ec_numbers	0.330	74989.000	3.229	0.519	0.695	0.850	0.822	0.992	0.519	0.695	0.836	0.867	0.861	0.823	0.842
dspace_results.tsv	ec_numbers	0.340	74957.000	3.226	0.512	0.698	0.851	0.821	0.992	0.512	0.698	0.836	0.866	0.863	0.822	0.842
dspace_results.tsv	ec_numbers	0.350	74927.000	3.224	0.506	0.700	0.852	0.821	0.992	0.506	0.700	0.836	0.863	0.864	0.822	0.842
dspace_results.tsv	ec_numbers	0.360	74895.000	3.221	0.498	0.703	0.853	0.820	0.991	0.498	0.703	0.836	0.861	0.866	0.821	0.843
dspace_results.tsv	ec_numbers	0.370	74862.000	3.219	0.492	0.705	0.854	0.819	0.991	0.492	0.705	0.836	0.860	0.867	0.820	0.843
dspace_results.tsv	ec_numbers	0.380	74826.000	3.217	0.485	0.707	0.854	0.819	0.990	0.485	0.707	0.836	0.857	0.869	0.820	0.844
dspace_results.tsv	ec_numbers	0.390	74791.000	3.214	0.478	0.710	0.855	0.818	0.990	0.478	0.710	0.836	0.856	0.871	0.819	0.844
dspace_results.tsv	ec_numbers	0.400	74751.000	3.212	0.471	0.712	0.856	0.817	0.989	0.471	0.712	0.836	0.854	0.872	0.818	0.844
dspace_results.tsv	ec_numbers	0.410	74716.000	3.209	0.465	0.715	0.857	0.817	0.989	0.465	0.715	0.836	0.853	0.874	0.818	0.845
dspace_results.tsv	ec_numbers	0.420	74676.000	3.207	0.459	0.717	0.858	0.816	0.988	0.459	0.717	0.836	0.852	0.875	0.817	0.845
dspace_results.tsv	ec_numbers	0.430	74640.000	3.204	0.453	0.720	0.859	0.815	0.988	0.453	0.720	0.836	0.851	0.876	0.816	0.845
dspace_results.tsv	ec_numbers	0.440	74590.000	3.201	0.447	0.723	0.859	0.814	0.987	0.447	0.723	0.836	0.850	0.877	0.816	0.845
dspace_results.tsv	ec_numbers	0.450	74546.000	3.198	0.442	0.726	0.860	0.814	0.987	0.442	0.726	0.836	0.850	0.879	0.815	0.846
dspace_results.tsv	ec_numbers	0.460	74502.000	3.195	0.436	0.729	0.861	0.813	0.986	0.436	0.729	0.836	0.849	0.880	0.814	0.846
dspace_results.tsv	ec_numbers	0.470	74466.000	3.193	0.430	0.731	0.862	0.812	0.985	0.430	0.731	0.836	0.848	0.881	0.814	0.846
dspace_results.tsv	ec_numbers	0.480	74421.000	3.191	0.425	0.733	0.862	0.812	0.985	0.425	0.733	0.836	0.848	0.882	0.813	0.846
dspace_results.tsv	ec_numbers	0.490	74376.000	3.188	0.420	0.736	0.863	0.811	0.984	0.420	0.736	0.836	0.847	0.884	0.812	0.847
dspace_results.tsv	ec_numbers	0.500	74323.000	3.186	0.414	0.738	0.864	0.810	0.984	0.414	0.738	0.836	0.846	0.885	0.812	0.847
dspace_results.tsv	ec_numbers	0.510	74264.000	3.183	0.409	0.741	0.865	0.810	0.983	0.409	0.741	0.837	0.846	0.886	0.811	0.847
dspace_results.tsv	ec_numbers	0.520	74208.000	3.181	0.403	0.743	0.866	0.809	0.982	0.403	0.743	0.837	0.846	0.888	0.811	0.847
dspace_results.tsv	ec_numbers	0.530	74158.000	3.178	0.398	0.746	0.867	0.808	0.981	0.398	0.746	0.837	0.846	0.889	0.810	0.847
dspace_results.tsv	ec_numbers	0.540	74101.000	3.175	0.393	0.749	0.867	0.808	0.981	0.393	0.749	0.837	0.846	0.890	0.809	0.848
dspace_results.tsv	ec_numbers	0.550	74054.000	3.173	0.388	0.751	0.868	0.807	0.980	0.388	0.751	0.837	0.846	0.891	0.809	0.848
dspace_results.tsv	ec_numbers	0.560	73993.000	3.170	0.384	0.754	0.869	0.807	0.979	0.384	0.754	0.837	0.846	0.892	0.808	0.848
dspace_results.tsv	ec_numbers	0.570	73933.000	3.167	0.379	0.756	0.870	0.806	0.978	0.379	0.756	0.837	0.846	0.893	0.807	0.848
dspace_results.tsv	ec_numbers	0.580	73876.000	3.165	0.374	0.759	0.871	0.805	0.978	0.374	0.759	0.837	0.846	0.894	0.807	0.848
dspace_results.tsv	ec_numbers	0.590	73806.000	3.162	0.369	0.762	0.872	0.804	0.977	0.369	0.762	0.837	0.846	0.896	0.806	0.848
dspace_results.tsv	ec_numbers	0.600	73752.000	3.160	0.364	0.764	0.873	0.804	0.976	0.364	0.764	0.837	0.846	0.897	0.805	0.849
dspace_results.tsv	ec_numbers	0.610	73679.000	3.157	0.359	0.767	0.874	0.803	0.975	0.359	0.767	0.837	0.847	0.898	0.805	0.849
dspace_results.tsv	ec_numbers	0.620	73632.000	3.155	0.354	0.769	0.874	0.802	0.974	0.354	0.769	0.837	0.847	0.899	0.804	0.849
dspace_results.tsv	ec_numbers	0.630	73563.000	3.152	0.350	0.772	0.875	0.802	0.973	0.350	0.772	0.837	0.847	0.900	0.803	0.849
dspace_results.tsv	ec_numbers	0.640	73502.000	3.149	0.344	0.775	0.876	0.801	0.973	0.344	0.775	0.837	0.848	0.901	0.803	0.849
dspace_results.tsv	ec_numbers	0.650	73439.000	3.146	0.340	0.778	0.877	0.800	0.972	0.340	0.778	0.837	0.849	0.903	0.802	0.849
dspace_results.tsv	ec_numbers	0.660	73352.000	3.143	0.335	0.781	0.878	0.799	0.971	0.335	0.781	0.837	0.850	0.904	0.801	0.849
dspace_results.tsv	ec_numbers	0.670	73279.000	3.140	0.330	0.784	0.879	0.799	0.970	0.330	0.784	0.837	0.851	0.905	0.800	0.849
dspace_results.tsv	ec_numbers	0.680	73202.000	3.137	0.325	0.787	0.880	0.798	0.969	0.325	0.787	0.837	0.852	0.906	0.799	0.849
dspace_results.tsv	ec_numbers	0.690	73127.000	3.134	0.321	0.790	0.881	0.797	0.968	0.321	0.790	0.837	0.853	0.907	0.799	0.849
dspace_results.tsv	ec_numbers	0.700	73032.000	3.131	0.316	0.793	0.882	0.796	0.966	0.316	0.793	0.837	0.854	0.908	0.798	0.850
dspace_results.tsv	ec_numbers	0.710	72933.000	3.127	0.311	0.796	0.883	0.795	0.965	0.311	0.796	0.837	0.855	0.910	0.797	0.850
dspace_results.tsv	ec_numbers	0.720	72850.000	3.124	0.306	0.800	0.884	0.794	0.964	0.306	0.800	0.837	0.857	0.911	0.796	0.850
dspace_results.tsv	ec_numbers	0.730	72750.000	3.120	0.301	0.804	0.885	0.793	0.963	0.301	0.804	0.837	0.858	0.912	0.795	0.850
dspace_results.tsv	ec_numbers	0.740	72665.000	3.116	0.296	0.808	0.886	0.792	0.962	0.296	0.808	0.837	0.860	0.913	0.794	0.850
dspace_results.tsv	ec_numbers	0.750	72575.000	3.113	0.291	0.811	0.887	0.792	0.960	0.291	0.811	0.837	0.862	0.914	0.793	0.850
