filename	ns	tau	n	tp	fp	fn	pr	rc	cov	mi	ru	f	s	pr_micro	rc_micro	f_micro	cov_max
deep_ec_results.tsv	ec_numbers	0.700	71157.000	3.076	0.395	0.848	0.875	0.782	0.942	0.395	0.848	0.826	0.935	0.886	0.784	0.832	1.000
dspace_results.tsv	ec_numbers	0.630	73563.000	3.152	0.350	0.772	0.875	0.802	0.973	0.350	0.772	0.837	0.847	0.900	0.803	0.849	1.000
esm1b_results.tsv	ec_numbers	0.370	75208.000	3.727	0.168	0.197	0.957	0.950	0.995	0.168	0.197	0.953	0.259	0.957	0.950	0.953	1.000
esm2_3B_results.tsv	ec_numbers	0.470	75229.000	3.733	0.145	0.191	0.962	0.952	0.996	0.145	0.191	0.957	0.240	0.963	0.951	0.957	1.000
prot_bert_results.tsv	ec_numbers	0.470	74931.000	3.681	0.183	0.243	0.952	0.938	0.992	0.183	0.243	0.945	0.304	0.953	0.938	0.945	1.000
