group	label	ns	tau	cov	ru	mi	s
DeepEC CNN3	DeepEC CNN3	ec_numbers	0.080	1.000	0.478	2.212	2.263
DeepEC CNN3	DeepEC CNN3	ec_numbers	0.090	1.000	0.489	2.074	2.131
DeepEC CNN3	DeepEC CNN3	ec_numbers	0.100	1.000	0.501	1.955	2.018
DeepEC CNN3	DeepEC CNN3	ec_numbers	0.110	1.000	0.510	1.852	1.921
DeepEC CNN3	DeepEC CNN3	ec_numbers	0.120	0.999	0.519	1.761	1.836
DeepEC CNN3	DeepEC CNN3	ec_numbers	0.130	0.999	0.528	1.679	1.760
DeepEC CNN3	DeepEC CNN3	ec_numbers	0.140	0.999	0.537	1.606	1.694
DeepEC CNN3	DeepEC CNN3	ec_numbers	0.150	0.999	0.546	1.540	1.634
DeepEC CNN3	DeepEC CNN3	ec_numbers	0.160	0.999	0.553	1.478	1.578
DeepEC CNN3	DeepEC CNN3	ec_numbers	0.170	0.999	0.561	1.423	1.530
DeepEC CNN3	DeepEC CNN3	ec_numbers	0.180	0.998	0.569	1.372	1.485
DeepEC CNN3	DeepEC CNN3	ec_numbers	0.190	0.998	0.575	1.325	1.445
DeepEC CNN3	DeepEC CNN3	ec_numbers	0.200	0.998	0.582	1.283	1.409
DeepEC CNN3	DeepEC CNN3	ec_numbers	0.210	0.998	0.588	1.243	1.375
DeepEC CNN3	DeepEC CNN3	ec_numbers	0.220	0.997	0.595	1.205	1.344
DeepEC CNN3	DeepEC CNN3	ec_numbers	0.230	0.997	0.601	1.169	1.315
DeepEC CNN3	DeepEC CNN3	ec_numbers	0.240	0.997	0.608	1.138	1.290
DeepEC CNN3	DeepEC CNN3	ec_numbers	0.250	0.996	0.614	1.106	1.265
DeepEC CNN3	DeepEC CNN3	ec_numbers	0.260	0.996	0.619	1.076	1.241
DeepEC CNN3	DeepEC CNN3	ec_numbers	0.270	0.996	0.624	1.048	1.220
DeepEC CNN3	DeepEC CNN3	ec_numbers	0.280	0.995	0.630	1.021	1.199
DeepEC CNN3	DeepEC CNN3	ec_numbers	0.290	0.994	0.635	0.996	1.181
DeepEC CNN3	DeepEC CNN3	ec_numbers	0.300	0.994	0.641	0.971	1.163
DeepEC CNN3	DeepEC CNN3	ec_numbers	0.310	0.993	0.647	0.947	1.147
DeepEC CNN3	DeepEC CNN3	ec_numbers	0.320	0.993	0.652	0.923	1.130
DeepEC CNN3	DeepEC CNN3	ec_numbers	0.330	0.992	0.656	0.900	1.114
DeepEC CNN3	DeepEC CNN3	ec_numbers	0.340	0.991	0.662	0.878	1.100
DeepEC CNN3	DeepEC CNN3	ec_numbers	0.350	0.991	0.667	0.858	1.087
DeepEC CNN3	DeepEC CNN3	ec_numbers	0.360	0.990	0.673	0.839	1.075
DeepEC CNN3	DeepEC CNN3	ec_numbers	0.370	0.989	0.677	0.820	1.064
DeepEC CNN3	DeepEC CNN3	ec_numbers	0.380	0.988	0.682	0.803	1.054
DeepEC CNN3	DeepEC CNN3	ec_numbers	0.390	0.988	0.687	0.785	1.043
DeepEC CNN3	DeepEC CNN3	ec_numbers	0.400	0.987	0.692	0.768	1.033
DeepEC CNN3	DeepEC CNN3	ec_numbers	0.410	0.986	0.697	0.750	1.024
DeepEC CNN3	DeepEC CNN3	ec_numbers	0.420	0.985	0.702	0.735	1.016
DeepEC CNN3	DeepEC CNN3	ec_numbers	0.430	0.984	0.707	0.718	1.008
DeepEC CNN3	DeepEC CNN3	ec_numbers	0.440	0.983	0.712	0.702	1.000
DeepEC CNN3	DeepEC CNN3	ec_numbers	0.450	0.982	0.717	0.688	0.994
DeepEC CNN3	DeepEC CNN3	ec_numbers	0.460	0.980	0.721	0.673	0.987
DeepEC CNN3	DeepEC CNN3	ec_numbers	0.470	0.979	0.726	0.659	0.981
DeepEC CNN3	DeepEC CNN3	ec_numbers	0.480	0.978	0.731	0.644	0.974
DeepEC CNN3	DeepEC CNN3	ec_numbers	0.490	0.977	0.736	0.631	0.969
DeepEC CNN3	DeepEC CNN3	ec_numbers	0.500	0.975	0.741	0.618	0.965
DeepEC CNN3	DeepEC CNN3	ec_numbers	0.510	0.974	0.746	0.605	0.961
DeepEC CNN3	DeepEC CNN3	ec_numbers	0.520	0.973	0.750	0.592	0.956
DeepEC CNN3	DeepEC CNN3	ec_numbers	0.530	0.972	0.756	0.579	0.952
DeepEC CNN3	DeepEC CNN3	ec_numbers	0.540	0.970	0.760	0.567	0.948
DeepEC CNN3	DeepEC CNN3	ec_numbers	0.550	0.969	0.765	0.556	0.946
DeepEC CNN3	DeepEC CNN3	ec_numbers	0.560	0.967	0.770	0.545	0.943
DeepEC CNN3	DeepEC CNN3	ec_numbers	0.570	0.966	0.776	0.534	0.941
DeepEC CNN3	DeepEC CNN3	ec_numbers	0.580	0.964	0.780	0.522	0.939
DeepEC CNN3	DeepEC CNN3	ec_numbers	0.590	0.963	0.785	0.511	0.936
DeepEC CNN3	DeepEC CNN3	ec_numbers	0.600	0.961	0.790	0.499	0.935
DeepEC CNN3	DeepEC CNN3	ec_numbers	0.610	0.959	0.796	0.487	0.934
DeepEC CNN3	DeepEC CNN3	ec_numbers	0.620	0.958	0.802	0.477	0.933
DeepEC CNN3	DeepEC CNN3	ec_numbers	0.630	0.956	0.807	0.467	0.932
DeepEC CNN3	DeepEC CNN3	ec_numbers	0.640	0.954	0.812	0.457	0.932
DeepEC CNN3	DeepEC CNN3	ec_numbers	0.650	0.952	0.818	0.447	0.932
DeepEC CNN3	DeepEC CNN3	ec_numbers	0.660	0.950	0.824	0.436	0.932
DeepEC CNN3	DeepEC CNN3	ec_numbers	0.670	0.948	0.830	0.426	0.933
DeepEC CNN3	DeepEC CNN3	ec_numbers	0.680	0.946	0.836	0.416	0.934
DeepEC CNN3	DeepEC CNN3	ec_numbers	0.690	0.944	0.842	0.405	0.934
DeepEC CNN3	DeepEC CNN3	ec_numbers	0.700	0.942	0.848	0.395	0.935
DeepEC CNN3	DeepEC CNN3	ec_numbers	0.710	0.940	0.854	0.386	0.937
DeepEC CNN3	DeepEC CNN3	ec_numbers	0.720	0.937	0.861	0.376	0.939
DeepEC CNN3	DeepEC CNN3	ec_numbers	0.730	0.935	0.868	0.366	0.942
DeepEC CNN3	DeepEC CNN3	ec_numbers	0.740	0.932	0.875	0.357	0.945
DeepEC CNN3	DeepEC CNN3	ec_numbers	0.750	0.930	0.882	0.347	0.948
DeepEC CNN3	DeepEC CNN3	ec_numbers	0.760	0.927	0.889	0.338	0.951
DeepEC CNN3	DeepEC CNN3	ec_numbers	0.770	0.925	0.896	0.328	0.954
DeepEC CNN3	DeepEC CNN3	ec_numbers	0.780	0.922	0.904	0.318	0.958
DeepEC CNN3	DeepEC CNN3	ec_numbers	0.790	0.919	0.911	0.309	0.962
DeepEC CNN3	DeepEC CNN3	ec_numbers	0.800	0.916	0.919	0.299	0.967
DeepEC CNN3	DeepEC CNN3	ec_numbers	0.810	0.913	0.927	0.290	0.972
DeepEC CNN3	DeepEC CNN3	ec_numbers	0.820	0.910	0.937	0.281	0.978
DeepEC CNN3	DeepEC CNN3	ec_numbers	0.830	0.907	0.946	0.271	0.985
DeepEC CNN3	DeepEC CNN3	ec_numbers	0.840	0.903	0.957	0.262	0.993
DeepEC CNN3	DeepEC CNN3	ec_numbers	0.850	0.899	0.968	0.252	1.001
DeepEC CNN3	DeepEC CNN3	ec_numbers	0.860	0.895	0.979	0.243	1.008
DeepEC CNN3	DeepEC CNN3	ec_numbers	0.870	0.891	0.990	0.231	1.017
DeepEC CNN3	DeepEC CNN3	ec_numbers	0.880	0.886	1.003	0.221	1.027
DeepEC CNN3	DeepEC CNN3	ec_numbers	0.890	0.881	1.017	0.211	1.038
DeepEC CNN3	DeepEC CNN3	ec_numbers	0.900	0.876	1.031	0.200	1.050
DeepEC CNN3	DeepEC CNN3	ec_numbers	0.910	0.870	1.047	0.189	1.064
DeepEC CNN3	DeepEC CNN3	ec_numbers	0.920	0.864	1.065	0.177	1.079
DeepEC CNN3	DeepEC CNN3	ec_numbers	0.930	0.858	1.085	0.165	1.098
DeepEC CNN3	DeepEC CNN3	ec_numbers	0.940	0.850	1.109	0.152	1.119
DeepEC CNN3	DeepEC CNN3	ec_numbers	0.950	0.840	1.138	0.138	1.146
DeepEC CNN3	DeepEC CNN3	ec_numbers	0.960	0.829	1.172	0.123	1.179
DeepEC CNN3	DeepEC CNN3	ec_numbers	0.970	0.816	1.217	0.107	1.222
DeepEC CNN3	DeepEC CNN3	ec_numbers	0.980	0.796	1.279	0.087	1.282
DeepEC CNN3	DeepEC CNN3	ec_numbers	0.990	0.765	1.385	0.065	1.386
