filename	ns	tau	n	tp	fp	fn	pr	rc	cov	mi	ru	f	s	pr_micro	rc_micro	f_micro	cov_max
deep_ec_results.tsv	ec_numbers	0.640	72090.000	3.112	0.457	0.812	0.863	0.792	0.954	0.457	0.812	0.826	0.932	0.872	0.793	0.831	1.000
dspace_results.tsv	ec_numbers	0.550	74054.000	3.173	0.388	0.751	0.868	0.807	0.980	0.388	0.751	0.837	0.846	0.891	0.809	0.848	1.000
esm1b_results.tsv	ec_numbers	0.430	75160.000	3.721	0.157	0.203	0.958	0.948	0.995	0.157	0.203	0.953	0.257	0.959	0.948	0.954	1.000
esm2_3B_results.tsv	ec_numbers	0.480	75222.000	3.731	0.143	0.193	0.963	0.951	0.995	0.143	0.193	0.957	0.240	0.963	0.951	0.957	1.000
prot_bert_results.tsv	ec_numbers	0.510	74846.000	3.673	0.171	0.251	0.954	0.936	0.990	0.171	0.251	0.945	0.303	0.956	0.936	0.946	1.000
