,Model,Level,EC,F1 score
0,BLASTp,1,1.1,0.9736290411563501
1,BLASTp,1,1.10,0.9806949806949806
2,BLASTp,1,1.11,0.9459193706981317
3,BLASTp,1,1.12,0.9584664536741214
4,BLASTp,1,1.13,0.9568062827225131
5,BLASTp,1,1.14,0.9783311772315654
6,BLASTp,1,1.15,0.9677419354838709
7,BLASTp,1,1.16,0.976
8,BLASTp,1,1.17,0.9132290184921764
9,BLASTp,1,1.18,0.9491525423728814
10,BLASTp,1,1.2,0.9665561916239831
11,BLASTp,1,1.20,0.9299363057324842
12,BLASTp,1,1.21,0.9496855345911951
13,BLASTp,1,1.3,0.952063573442707
14,BLASTp,1,1.4,0.9732824427480916
15,BLASTp,1,1.5,0.9546695794647734
16,BLASTp,1,1.6,0.9305555555555555
17,BLASTp,1,1.7,0.9597924773022048
18,BLASTp,1,1.8,0.9634073185362928
19,BLASTp,1,1.9,1.0
20,BLASTp,1,1.97,0.9411764705882353
21,DNN ESM1b,1,1.1,0.9692426413846323
22,DNN ESM1b,1,1.10,0.9647058823529412
23,DNN ESM1b,1,1.11,0.938938938938939
24,DNN ESM1b,1,1.12,0.9194630872483222
25,DNN ESM1b,1,1.13,0.9549668874172186
26,DNN ESM1b,1,1.14,0.9752684672958021
27,DNN ESM1b,1,1.15,0.975609756097561
28,DNN ESM1b,1,1.16,0.9558232931726907
29,DNN ESM1b,1,1.17,0.8967468175388968
30,DNN ESM1b,1,1.18,0.9154518950437318
31,DNN ESM1b,1,1.2,0.9677222898903777
32,DNN ESM1b,1,1.20,0.9487179487179488
33,DNN ESM1b,1,1.21,0.9333333333333332
34,DNN ESM1b,1,1.3,0.9494845360824743
35,DNN ESM1b,1,1.4,0.9692307692307693
36,DNN ESM1b,1,1.5,0.9481723949809057
37,DNN ESM1b,1,1.6,0.9304812834224598
38,DNN ESM1b,1,1.7,0.955026455026455
39,DNN ESM1b,1,1.8,0.9523809523809524
40,DNN ESM1b,1,1.9,1.0
41,DNN ESM1b,1,1.97,0.9586776859504132
42,DNN ESM2 3B,1,1.1,0.9724024189114897
43,DNN ESM2 3B,1,1.10,0.9411764705882352
44,DNN ESM2 3B,1,1.11,0.9409409409409409
45,DNN ESM2 3B,1,1.12,0.9271523178807948
46,DNN ESM2 3B,1,1.13,0.9651086240947993
47,DNN ESM2 3B,1,1.14,0.9768570966175756
48,DNN ESM2 3B,1,1.15,0.9593495934959351
49,DNN ESM2 3B,1,1.16,0.959349593495935
50,DNN ESM2 3B,1,1.17,0.9083094555873925
51,DNN ESM2 3B,1,1.18,0.9344729344729344
52,DNN ESM2 3B,1,1.2,0.966859227728793
53,DNN ESM2 3B,1,1.20,0.9433962264150944
54,DNN ESM2 3B,1,1.21,0.9363057324840764
55,DNN ESM2 3B,1,1.3,0.9531169500257599
56,DNN ESM2 3B,1,1.4,0.9706257982120051
57,DNN ESM2 3B,1,1.5,0.9484649122807017
58,DNN ESM2 3B,1,1.6,0.923076923076923
59,DNN ESM2 3B,1,1.7,0.95
60,DNN ESM2 3B,1,1.8,0.9627851140456182
61,DNN ESM2 3B,1,1.9,1.0
62,DNN ESM2 3B,1,1.97,0.9508196721311475
63,DNN ProtBERT,1,1.1,0.959349593495935
64,DNN ProtBERT,1,1.10,0.9359999999999999
