,Model,Level,EC,F1 score
112,DNN ESM1b,1,1.14.11,0.9544235924932977
113,DNN ESM1b,1,1.14.12,0.9239130434782609
114,DNN ESM1b,1,1.14.13,0.9256900212314224
115,DNN ESM1b,1,1.14.14,0.8645937813440321
116,DNN ESM1b,1,1.14.15,0.9102564102564102
117,DNN ESM1b,1,1.14.16,0.9763779527559054
118,DNN ESM1b,1,1.14.17,0.9672131147540983
119,DNN ESM1b,1,1.14.18,0.8789808917197452
120,DNN ESM1b,1,1.14.19,0.9283950617283949
121,DNN ESM1b,1,1.14.20,0.5294117647058824
122,DNN ESM1b,1,1.14.99,0.8970976253298154
123,DNN ESM1b,1,1.15.1,0.975609756097561
124,DNN ESM1b,1,1.16.1,0.9421487603305784
125,DNN ESM1b,1,1.16.3,0.962962962962963
126,DNN ESM1b,1,1.17.1,0.8374384236453202
127,DNN ESM1b,1,1.17.2,0.7999999999999999
128,DNN ESM1b,1,1.17.4,0.9174311926605504
129,DNN ESM1b,1,1.17.5,0.7555555555555555
130,DNN ESM1b,1,1.17.7,1.0
131,DNN ESM1b,1,1.17.99,1.0
132,DNN ESM1b,1,1.18.1,0.9172932330827068
133,DNN ESM1b,1,1.18.6,0.9367088607594937
134,DNN ESM1b,1,1.2.1,0.980441115272576
135,DNN ESM1b,1,1.2.3,0.9285714285714286
136,DNN ESM1b,1,1.2.4,0.9818181818181818
137,DNN ESM1b,1,1.2.5,0.7301587301587301
138,DNN ESM1b,1,1.2.7,0.9391304347826087
139,DNN ESM1b,1,1.2.98,0.7906976744186047
140,DNN ESM1b,1,1.2.99,0.7272727272727273
141,DNN ESM1b,1,1.20.4,0.9557522123893806
142,DNN ESM1b,1,1.20.9,0.9142857142857143
143,DNN ESM1b,1,1.21.1,0.9090909090909091
144,DNN ESM1b,1,1.21.4,0.9583333333333333
145,DNN ESM1b,1,1.21.98,0.9836065573770492
146,DNN ESM1b,1,1.3.1,0.9264787175234938
147,DNN ESM1b,1,1.3.3,0.9480122324159022
148,DNN ESM1b,1,1.3.5,0.9536082474226806
149,DNN ESM1b,1,1.3.7,0.9408740359897172
150,DNN ESM1b,1,1.3.8,0.8206686930091186
151,DNN ESM1b,1,1.3.98,0.9103448275862069
152,DNN ESM1b,1,1.3.99,0.8163265306122449
153,DNN ESM1b,1,1.4.1,0.9511754068716094
154,DNN ESM1b,1,1.4.3,0.9388560157790927
155,DNN ESM1b,1,1.4.4,1.0
156,DNN ESM1b,1,1.4.7,0.6842105263157895
157,DNN ESM1b,1,1.4.9,0.983050847457627
158,DNN ESM1b,1,1.4.99,0.8870967741935484
159,DNN ESM1b,1,1.5.1,0.9562231759656653
160,DNN ESM1b,1,1.5.3,0.8074534161490683
161,DNN ESM1b,1,1.5.5,0.98989898989899
162,DNN ESM1b,1,1.5.8,0.8031496062992125
163,DNN ESM1b,1,1.5.98,0.9411764705882354
164,DNN ESM1b,1,1.5.99,0.7692307692307692
165,DNN ESM1b,1,1.6.1,0.9333333333333333
166,DNN ESM1b,1,1.6.2,0.9734513274336283
167,DNN ESM1b,1,1.6.3,0.9306930693069307
168,DNN ESM1b,1,1.6.5,0.8992805755395684
169,DNN ESM1b,1,1.6.99,0.8
170,DNN ESM1b,1,1.7.1,0.9689737470167064
171,DNN ESM1b,1,1.7.2,0.9398907103825136
172,DNN ESM1b,1,1.7.3,0.9696969696969697
173,DNN ESM1b,1,1.7.5,0.8
174,DNN ESM1b,1,1.7.7,0.8163265306122449
175,DNN ESM1b,1,1.7.99,1.0
176,DNN ESM1b,1,1.8.1,0.9327731092436974
177,DNN ESM1b,1,1.8.2,0.8490566037735849
178,DNN ESM1b,1,1.8.3,0.9852941176470589
179,DNN ESM1b,1,1.8.4,0.9811320754716982
180,DNN ESM1b,1,1.8.5,0.8712871287128714
181,DNN ESM1b,1,1.8.7,0.9113924050632912
182,DNN ESM1b,1,1.8.98,0.9333333333333333
183,DNN ESM1b,1,1.8.99,0.9183673469387755
184,DNN ESM1b,1,1.9.6,1.0
185,DNN ESM1b,1,1.97.1,0.9666666666666667
186,DNN ESM2 3B,1,1.1.1,0.9696399785061796
187,DNN ESM2 3B,1,1.1.2,0.7861271676300579
188,DNN ESM2 3B,1,1.1.3,0.8921161825726142
189,DNN ESM2 3B,1,1.1.5,0.9010238907849829
190,DNN ESM2 3B,1,1.1.9,0.8163265306122449
191,DNN ESM2 3B,1,1.1.98,0.8444444444444444
192,DNN ESM2 3B,1,1.1.99,0.8445475638051045
193,DNN ESM2 3B,1,1.10.3,0.9523809523809523
194,DNN ESM2 3B,1,1.11.1,0.9316628701594534
195,DNN ESM2 3B,1,1.11.2,0.9421487603305784
196,DNN ESM2 3B,1,1.12.1,0.875
197,DNN ESM2 3B,1,1.12.2,0.8275862068965518
198,DNN ESM2 3B,1,1.12.5,0.896551724137931
199,DNN ESM2 3B,1,1.12.7,0.7200000000000001
200,DNN ESM2 3B,1,1.12.98,0.8599999999999999
201,DNN ESM2 3B,1,1.12.99,0.8444444444444444
202,DNN ESM2 3B,1,1.13.11,0.9770023790642347
203,DNN ESM2 3B,1,1.13.12,0.875
204,DNN ESM2 3B,1,1.13.99,0.9333333333333333
205,DNN ESM2 3B,1,1.14.11,0.9517857142857141
206,DNN ESM2 3B,1,1.14.12,0.923076923076923
207,DNN ESM2 3B,1,1.14.13,0.9319148936170213
208,DNN ESM2 3B,1,1.14.14,0.8737864077669903
209,DNN ESM2 3B,1,1.14.15,0.9075630252100841
210,DNN ESM2 3B,1,1.14.16,0.9763779527559054
211,DNN ESM2 3B,1,1.14.17,0.9677419354838709
212,DNN ESM2 3B,1,1.14.18,0.9044585987261146
213,DNN ESM2 3B,1,1.14.19,0.9455445544554456
214,DNN ESM2 3B,1,1.14.20,0.7058823529411764
215,DNN ESM2 3B,1,1.14.99,0.9067357512953368
216,DNN ESM2 3B,1,1.15.1,0.9593495934959351
217,DNN ESM2 3B,1,1.16.1,0.9579831932773109
218,DNN ESM2 3B,1,1.16.3,0.962962962962963
219,DNN ESM2 3B,1,1.17.1,0.859903381642512
220,DNN ESM2 3B,1,1.17.2,0.8125
221,DNN ESM2 3B,1,1.17.4,0.9285714285714285
222,DNN ESM2 3B,1,1.17.5,0.7555555555555555
223,DNN ESM2 3B,1,1.17.7,1.0
224,DNN ESM2 3B,1,1.17.99,1.0
225,DNN ESM2 3B,1,1.18.1,0.9343065693430657
226,DNN ESM2 3B,1,1.18.6,0.9500000000000001
227,DNN ESM2 3B,1,1.2.1,0.9758935993349958
228,DNN ESM2 3B,1,1.2.3,0.9176470588235294
229,DNN ESM2 3B,1,1.2.4,0.9818181818181818
230,DNN ESM2 3B,1,1.2.5,0.7424242424242424
231,DNN ESM2 3B,1,1.2.7,0.9411764705882352
232,DNN ESM2 3B,1,1.2.98,0.8181818181818181
233,DNN ESM2 3B,1,1.2.99,0.7599999999999999
234,DNN ESM2 3B,1,1.20.4,0.9655172413793103
235,DNN ESM2 3B,1,1.20.9,0.9444444444444444
236,DNN ESM2 3B,1,1.21.1,0.9090909090909091
237,DNN ESM2 3B,1,1.21.4,0.9591836734693877
238,DNN ESM2 3B,1,1.21.98,1.0
239,DNN ESM2 3B,1,1.3.1,0.9252905368013281
240,DNN ESM2 3B,1,1.3.3,0.9309309309309309
241,DNN ESM2 3B,1,1.3.5,0.9591836734693878
242,DNN ESM2 3B,1,1.3.7,0.9797979797979798
243,DNN ESM2 3B,1,1.3.8,0.8495575221238938
244,DNN ESM2 3B,1,1.3.98,0.8936170212765957
245,DNN ESM2 3B,1,1.3.99,0.8285077951002228
246,DNN ESM2 3B,1,1.4.1,0.9484902309058614
247,DNN ESM2 3B,1,1.4.3,0.9351669941060904
248,DNN ESM2 3B,1,1.4.4,1.0
249,DNN ESM2 3B,1,1.4.7,0.7804878048780488
250,DNN ESM2 3B,1,1.4.9,0.983050847457627
251,DNN ESM2 3B,1,1.4.99,0.9291338582677167
252,DNN ESM2 3B,1,1.5.1,0.955249569707401
253,DNN ESM2 3B,1,1.5.3,0.8192771084337349
254,DNN ESM2 3B,1,1.5.5,0.98989898989899
255,DNN ESM2 3B,1,1.5.8,0.8217054263565892
256,DNN ESM2 3B,1,1.5.98,0.9855072463768115
257,DNN ESM2 3B,1,1.5.99,0.8387096774193549
258,DNN ESM2 3B,1,1.6.1,0.9333333333333333
259,DNN ESM2 3B,1,1.6.2,0.9734513274336283
260,DNN ESM2 3B,1,1.6.3,0.9183673469387754
261,DNN ESM2 3B,1,1.6.5,0.9057971014492753
262,DNN ESM2 3B,1,1.6.99,0.8717948717948718
263,DNN ESM2 3B,1,1.7.1,0.9548693586698337
264,DNN ESM2 3B,1,1.7.2,0.9392265193370166
