method,threshold,EC number,Number of positives,F1 score,Difference of F1 score
DNN ESM2 3B,1e-21,3.8.1,78,0.8082191780821918,0.029695688149305788
DNN ESM2 3B,1e-21,4.1.99,342,0.9767441860465116,6.780120686156188e-05
DNN ESM2 3B,1e-21,4.2.99,150,0.9591836734693877,0.005850340136054344
DNN ESM2 3B,1e-21,4.3.2,376,0.983957219251337,0.014340310400610345
DNN ESM2 3B,1e-21,4.98.1,28,1.0,0.05084745762711873
DNN ESM2 3B,1e-21,4.99.1,93,0.9613259668508287,0.03349091530443682
DNN ESM2 3B,1e-21,5.1.1,457,0.9695652173913043,0.006203148425787064
DNN ESM2 3B,1e-21,5.4.99,670,0.9910313901345292,0.0022337799776958045
DNN ESM2 3B,1e-21,6.3.5,568,0.998236331569665,0.0026338689487327427
DNN ESM2 3B,1e-21,7.2.1,57,0.9734513274336283,0.018496372478673306
DNN ESM2 3B,1e-21,7.2.2,137,0.9739776951672863,0.0071880272706073
DNN ESM2 3B,1e-21,7.2.4,25,0.96,0.07999999999999996
DNN ESM2 3B,1e-21,7.4.2,136,0.9591078066914498,0.0060392146336881725
DNN ESM2 3B,1e-21,1.1.1.100,48,0.8000000000000002,0.008333333333333526
DNN ESM2 3B,1e-21,1.1.1.103,31,1.0,0.0461538461538461
DNN ESM2 3B,1e-21,1.1.1.107,14,0.5925925925925927,0.1481481481481482
DNN ESM2 3B,1e-21,1.1.1.132,14,0.8571428571428571,0.05714285714285716
DNN ESM2 3B,1e-21,1.1.1.14,14,0.5,0.18
DNN ESM2 3B,1e-21,1.1.1.140,14,0.8461538461538461,0.06043956043956045
DNN ESM2 3B,1e-21,1.1.1.157,14,0.9655172413793104,0.03218390804597704
DNN ESM2 3B,1e-21,1.1.1.179,13,0.7500000000000001,0.0092592592592593
DNN ESM2 3B,1e-21,1.1.1.184,14,0.8,0.050000000000000044
DNN ESM2 3B,1e-21,1.1.1.195,19,0.7777777777777778,0.0505050505050505
DNN ESM2 3B,1e-21,1.1.1.2,14,0.7407407407407408,0.020740740740740726
DNN ESM2 3B,1e-21,1.1.1.203,14,0.896551724137931,0.029885057471264465
DNN ESM2 3B,1e-21,1.1.1.218,14,0.88,0.07999999999999996
DNN ESM2 3B,1e-21,1.1.1.23,81,1.0,0.006134969325153339
DNN ESM2 3B,1e-21,1.1.1.251,14,0.88,0.046666666666666745
DNN ESM2 3B,1e-21,1.1.1.269,14,0.5833333333333334,0.10333333333333344
DNN ESM2 3B,1e-21,1.1.1.274,14,0.5,0.1296296296296296
DNN ESM2 3B,1e-21,1.1.1.281,14,0.6086956521739131,0.037267080745341685
DNN ESM2 3B,1e-21,1.1.1.284,18,0.9714285714285714,0.02406015037593978
DNN ESM2 3B,1e-21,1.1.1.30,14,0.923076923076923,0.03418803418803407
DNN ESM2 3B,1e-21,1.1.1.301,14,0.6206896551724138,0.17624521072796934
DNN ESM2 3B,1e-21,1.1.1.304,14,0.8333333333333333,0.0641025641025641
DNN ESM2 3B,1e-21,1.1.1.31,14,0.7692307692307692,0.05494505494505486
DNN ESM2 3B,1e-21,1.1.1.310,14,0.8,0.050000000000000044
DNN ESM2 3B,1e-21,1.1.1.311,15,0.64,0.12148148148148141
DNN ESM2 3B,1e-21,1.1.1.313,14,0.7407407407407408,0.1007407407407408
DNN ESM2 3B,1e-21,1.1.1.330,23,0.9777777777777777,0.04160756501182039
DNN ESM2 3B,1e-21,1.1.1.336,14,0.9655172413793104,0.07662835249042144
DNN ESM2 3B,1e-21,1.1.1.343,14,0.9333333333333333,0.09462365591397848
DNN ESM2 3B,1e-21,1.1.1.346,14,0.8,0.3833333333333334
DNN ESM2 3B,1e-21,1.1.1.371,14,0.7857142857142857,0.11904761904761907
DNN ESM2 3B,1e-21,1.1.1.4,14,0.6666666666666666,0.026666666666666616
DNN ESM2 3B,1e-21,1.1.1.40,18,0.9142857142857143,0.025396825396825418
DNN ESM2 3B,1e-21,1.1.1.408,14,0.8,0.09032258064516141
DNN ESM2 3B,1e-21,1.1.1.48,14,0.88,0.046666666666666745
DNN ESM2 3B,1e-21,1.1.1.50,14,0.8,0.017391304347826098
DNN ESM2 3B,1e-21,1.1.1.51,14,0.8275862068965518,0.2561576354679804
DNN ESM2 3B,1e-21,1.1.1.53,18,0.8181818181818181,0.08348794063079767
DNN ESM2 3B,1e-21,1.1.1.56,14,0.7272727272727273,0.031620553359683834
DNN ESM2 3B,1e-21,1.1.1.57,14,0.9285714285714286,0.1428571428571429
DNN ESM2 3B,1e-21,1.1.1.62,29,0.7796610169491527,0.0035416139640780386
DNN ESM2 3B,1e-21,1.1.1.65,14,0.75,0.08333333333333337
DNN ESM2 3B,1e-21,1.1.1.67,14,0.896551724137931,0.039408866995073955
DNN ESM2 3B,1e-21,1.1.1.69,14,0.7857142857142857,0.011520737327188946
DNN ESM2 3B,1e-21,1.1.1.77,14,0.88,0.05241379310344818
DNN ESM2 3B,1e-21,1.1.1.79,17,0.8484848484848485,0.05901116427432229
DNN ESM2 3B,1e-21,1.1.1.82,14,0.888888888888889,0.07407407407407418
DNN ESM2 3B,1e-21,1.1.1.83,15,0.8823529411764706,0.06985294117647056
DNN ESM2 3B,1e-21,1.1.1.86,145,0.983050847457627,0.010828625235404843
DNN ESM2 3B,1e-21,1.1.1.9,16,0.8387096774193549,0.12442396313364057
DNN ESM2 3B,1e-21,1.1.1.95,20,0.787878787878788,0.045021645021645074
DNN ESM2 3B,1e-21,1.1.2.4,19,0.8095238095238095,0.04029304029304037
DNN ESM2 3B,1e-21,1.1.2.7,20,0.975609756097561,0.001250781738586615
DNN ESM2 3B,1e-21,1.1.3.20,27,0.9811320754716981,0.018169112508735208
DNN ESM2 3B,1e-21,1.1.3.46,19,0.8292682926829269,0.029268292682926855
DNN ESM2 3B,1e-21,1.1.9.1,23,0.8163265306122449,0.03371783496007097
DNN ESM2 3B,1e-21,1.1.98.2,21,0.9523809523809523,0.04761904761904756
DNN ESM2 3B,1e-21,1.1.99.1,54,0.8979591836734693,0.015606242496998712
DNN ESM2 3B,1e-21,1.1.99.29,14,0.9032258064516129,0.028225806451612767
DNN ESM2 3B,1e-21,1.1.99.31,14,0.8484848484848484,0.048484848484848464
DNN ESM2 3B,1e-21,1.10.3.2,29,0.9642857142857143,0.03325123152709364
DNN ESM2 3B,1e-21,1.11.1.19,15,1.0,0.03448275862068961
DNN ESM2 3B,1e-21,1.11.1.26,14,1.0,0.03448275862068961
DNN ESM2 3B,1e-21,1.11.1.7,59,0.8703703703703702,0.054836389787845885
DNN ESM2 3B,1e-21,1.11.1.8,14,0.962962962962963,0.03439153439153442
DNN ESM2 3B,1e-21,1.11.1.9,21,0.8717948717948718,0.07179487179487176
DNN ESM2 3B,1e-21,1.12.2.1,15,0.8571428571428571,0.018433179723502224
DNN ESM2 3B,1e-21,1.12.98.4,14,0.8461538461538461,0.01856763925729432
DNN ESM2 3B,1e-21,1.12.99.6,13,0.9230769230769231,0.07692307692307698
DNN ESM2 3B,1e-21,1.13.11.2,14,0.9285714285714286,0.03201970443349755
DNN ESM2 3B,1e-21,1.13.11.20,30,0.983050847457627,0.017533606078316666
