tool_name,fold,label,precision,recall,f1_score,identity
blast,0,1,0.9876456467006264,0.9797862453531598,0.9837002478495408,70
blast,0,2,0.9856573705179282,0.9805582210355042,0.9831011837537122,70
blast,0,3,0.9854616221166504,0.9704638971873062,0.9779052595706008,70
blast,0,4,0.9638994050838292,0.9628579146407348,0.9633783783783784,70
blast,0,5,0.9549659201557936,0.956129661223495,0.9555474363658508,70
blast,0,6,0.9778008298755186,0.9861895794099184,0.9819772893009688,70
blast,0,7,0.9900771775082692,0.9814207650273225,0.9857299670691548,70
blast,0,1.1,0.9534141671984684,0.9558541266794626,0.954632587859425,70
blast,0,1.10,0.9272727272727272,0.9444444444444444,0.9357798165137616,70
blast,0,1.11,0.9346246973365616,0.919047619047619,0.9267707082833132,70
blast,0,1.12,0.967032967032967,0.9166666666666666,0.9411764705882352,70
blast,0,1.13,0.9738219895287958,0.9662337662337662,0.970013037809648,70
blast,0,1.14,0.978032786885246,0.9738818152138426,0.9759528872893832,70
blast,0,1.15,1.0,0.936842105263158,0.967391304347826,70
blast,0,1.16,0.9666666666666668,0.935483870967742,0.9508196721311476,70
blast,0,1.17,0.899343544857768,0.899343544857768,0.899343544857768,70
blast,0,1.18,0.953216374269006,0.9261363636363636,0.9394812680115272,70
blast,0,1.2,0.947654656696125,0.941891891891892,0.9447644866147068,70
blast,0,1.20,0.9444444444444444,0.934065934065934,0.9392265193370164,70
blast,0,1.21,0.9479166666666666,0.914572864321608,0.930946291560102,70
blast,0,1.3,0.937532535137949,0.9156075241484494,0.926440329218107,70
blast,0,1.4,0.9733333333333334,0.948051948051948,0.9605263157894736,70
blast,0,1.5,0.9305882352941176,0.9060710194730812,0.918165989553105,70
blast,0,1.6,0.8607142857142858,0.8669064748201439,0.863799283154122,70
blast,0,1.7,0.9525959367945824,0.9440715883668904,0.9483146067415732,70
blast,0,1.8,0.9510385756676558,0.9454277286135692,0.948224852071006,70
blast,0,1.9,1.0,0.96875,0.984126984126984,70
blast,0,1.97,0.896551724137931,0.912280701754386,0.9043478260869564,70
blast,0,2.1,0.9803675856307436,0.9834485648439136,0.9819056584039326,70
blast,0,2.10,0.875,1.0,0.9333333333333332,70
blast,0,2.2,0.9794871794871794,0.9845360824742267,0.9820051413881749,70
blast,0,2.3,0.9791607997747114,0.9661016949152542,0.9725874125874124,70
blast,0,2.4,0.9833978970669618,0.9804137931034482,0.9819035778422436,70
blast,0,2.5,0.9735029146793852,0.9709302325581396,0.972214871659169,70
blast,0,2.6,0.973993288590604,0.9675,0.9707357859531772,70
blast,0,2.7,0.9872,0.9806622516556291,0.9839202657807308,70
blast,0,2.8,0.9803082191780822,0.9819897084048028,0.9811482433590404,70
blast,0,2.9,1.0,1.0,1.0,70
blast,0,3.1,0.9672625025105442,0.9489655172413792,0.9580266560572908,70
blast,0,3.11,0.9827586206896552,0.95,0.9661016949152542,70
blast,0,3.13,0.9558823529411764,1.0,0.9774436090225564,70
blast,0,3.2,0.9776440240756664,0.967247979583156,0.9724182168056448,70
blast,0,3.3,0.8695652173913043,0.8888888888888888,0.8791208791208792,70
blast,0,3.4,0.9857212003872216,0.9663107947805456,0.9759194920330658,70
blast,0,3.5,0.973046638400969,0.9742268041237112,0.9736363636363636,70
blast,0,3.6,0.9674868189806678,0.9670619235836628,0.9672743246211292,70
blast,0,3.7,0.8701298701298701,0.8535031847133758,0.8617363344051447,70
blast,0,3.8,0.7735849056603774,0.6949152542372882,0.7321428571428573,70
blast,0,3.9,0.8695652173913043,1.0,0.9302325581395348,70
blast,0,4.1,0.9663993890798016,0.9507888805409468,0.9585305813292936,70
blast,0,4.2,0.949658172778123,0.96403785488959,0.9567939887288668,70
blast,0,4.3,0.927860696517413,0.9503184713375796,0.9389553178099436,70
blast,0,4.4,0.96484375,0.8517241379310345,0.9047619047619048,70
blast,0,4.6,0.9444444444444444,0.96113074204947,0.9527145359019265,70
blast,0,4.7,1.0,1.0,1.0,70
blast,0,4.98,0.9393939393939394,0.96875,0.953846153846154,70
blast,0,4.99,0.96875,0.9763779527559056,0.9725490196078432,70
blast,0,5.1,0.9066390041493776,0.9075804776739356,0.9071094966268812,70
blast,0,5.2,0.989547038327526,0.9498327759197324,0.969283276450512,70
blast,0,5.3,0.947191953059514,0.9560067681895094,0.9515789473684212,70
blast,0,5.4,0.9669694467382328,0.9733998337489608,0.9701739850869924,70
blast,0,5.5,0.9020618556701032,0.8793969849246231,0.8905852417302799,70
blast,0,5.6,0.987603305785124,0.9958333333333332,0.991701244813278,70
blast,0,5.99,1.0,1.0,1.0,70
blast,0,6.1,0.992522093813732,0.9979494190020506,0.9952283571915476,70
blast,0,6.2,0.9166666666666666,0.9580645161290322,0.9369085173501578,70
blast,0,6.3,0.9797238999137188,0.9852494577006508,0.982478909798832,70
blast,0,6.4,0.8661971830985915,0.8723404255319149,0.8692579505300354,70
blast,0,6.5,1.0,0.981042654028436,0.9904306220095694,70
blast,0,6.6,1.0,0.9696969696969696,0.9846153846153848,70
blast,0,7.1,0.9845360824742267,0.9835221421215242,0.9840288511076766,70
blast,0,7.2,1.0,0.9416666666666668,0.9699570815450644,70
blast,0,7.3,0.963963963963964,0.981651376146789,0.9727272727272728,70
blast,0,7.4,0.9391891891891893,0.9586206896551724,0.9488054607508531,70
blast,0,7.5,0.9620253164556962,0.987012987012987,0.9743589743589742,70
blast,0,7.6,0.9701492537313432,0.9466019417475728,0.9582309582309582,70
blast,0,1.1.1,0.9475949367088607,0.9521750190791148,0.9498794569217104,70
blast,0,1.1.2,0.7846153846153846,0.7727272727272727,0.7786259541984732,70
blast,0,1.1.3,0.9145907473309608,0.9311594202898552,0.9228007181328546,70
blast,0,1.1.5,0.9051724137931034,0.8333333333333334,0.8677685950413223,70
blast,0,1.1.9,0.8461538461538461,0.6875,0.7586206896551724,70
blast,0,1.1.98,0.7692307692307693,0.5769230769230769,0.6593406593406593,70
blast,0,1.1.99,0.6940639269406392,0.76,0.7255369928400954,70
blast,0,1.10.3,0.9339622641509434,0.9428571428571428,0.9383886255924172,70
blast,0,1.11.1,0.9287598944591028,0.909560723514212,0.9190600522193212,70
blast,0,1.11.2,0.9393939393939394,0.96875,0.953846153846154,70
blast,0,1.12.1,0.9090909090909092,0.8163265306122449,0.8602150537634408,70
blast,0,1.12.2,0.4705882352941176,0.5714285714285714,0.5161290322580646,70
blast,0,1.12.5,0.5882352941176471,0.7692307692307693,0.6666666666666667,70
blast,0,1.12.7,0.8260869565217391,0.7916666666666666,0.8085106382978724,70
blast,0,1.12.98,0.8709677419354839,0.7941176470588235,0.8307692307692308,70
blast,0,1.12.99,0.6842105263157895,0.5909090909090909,0.6341463414634148,70
blast,0,1.13.11,0.9858490566037736,0.9796875,0.9827586206896552,70
blast,0,1.13.12,0.8899082568807339,0.8738738738738738,0.8818181818181818,70
blast,0,1.13.99,1.0,1.0,1.0,70
blast,0,1.14.11,0.9687010954616588,0.9656786271450858,0.9671875,70
blast,0,1.14.12,0.9156626506024096,0.8837209302325582,0.8994082840236686,70
blast,0,1.14.13,0.9335071707953064,0.917948717948718,0.9256625727213964,70
blast,0,1.14.14,0.861328125,0.857976653696498,0.8596491228070176,70
blast,0,1.14.15,0.9456521739130436,0.8877551020408163,0.9157894736842104,70
blast,0,1.14.16,1.0,0.9722222222222222,0.9859154929577464,70
blast,0,1.14.17,0.8666666666666667,0.8666666666666667,0.8666666666666667,70
blast,0,1.14.18,0.7833333333333333,0.9591836734693876,0.8623853211009175,70
blast,0,1.14.19,0.9269406392694064,0.944186046511628,0.935483870967742,70
blast,0,1.14.20,0.6666666666666666,0.8235294117647058,0.7368421052631577,70
blast,0,1.14.99,0.8726114649681529,0.845679012345679,0.8589341692789969,70
blast,0,1.15.1,1.0,0.936842105263158,0.967391304347826,70
blast,0,1.16.1,0.972972972972973,0.9473684210526316,0.96,70
blast,0,1.16.3,0.9428571428571428,0.8918918918918919,0.9166666666666669,70
blast,0,1.17.1,0.8098591549295775,0.7986111111111112,0.8041958041958043,70
blast,0,1.17.2,0.75,0.875,0.8076923076923077,70
blast,0,1.17.4,0.8125,0.9154929577464788,0.8609271523178808,70
blast,0,1.17.5,0.8709677419354839,0.7941176470588235,0.8307692307692308,70
blast,0,1.17.7,1.0,1.0,1.0,70
blast,0,1.17.99,1.0,1.0,1.0,70
blast,0,1.18.1,0.9402985074626866,0.9064748201438848,0.9230769230769232,70
blast,0,1.18.6,1.0,1.0,1.0,70
blast,0,1.2.1,0.9528650646950092,0.9476102941176472,0.9502304147465438,70
blast,0,1.2.3,0.8571428571428571,0.9230769230769232,0.888888888888889,70
blast,0,1.2.4,0.912280701754386,0.981132075471698,0.9454545454545454,70
blast,0,1.2.5,0.6,0.6818181818181818,0.6382978723404256,70
blast,0,1.2.7,0.8782051282051282,0.8726114649681529,0.8753993610223643,70
blast,0,1.2.98,0.5555555555555556,0.2941176470588235,0.3846153846153846,70
blast,0,1.2.99,0.76,0.6333333333333333,0.6909090909090909,70
blast,0,1.20.4,0.9272727272727272,0.9272727272727272,0.9272727272727272,70
blast,0,1.20.9,1.0,0.9333333333333332,0.9655172413793104,70
blast,0,1.21.1,1.0,1.0,1.0,70
blast,0,1.21.4,1.0,1.0,1.0,70
